Transaction ID,Date,Customer ID,Gender,Age,Product,Category,Quantity,Price,Total Amount
T00093,2024-07-29,C011,Female,62,Laptop,Electronics,3,70234.49,210703.47
T00239,2024-07-30,C029,Female,41,Laptop,Electronics,2,67750.25,135500.5
T00279,2024-07-31,C036,Female,28,Rice Cooker,Home & Kitchen,1,3387.63,3387.63
T00086,2024-07-31,C011,Female,62,Laptop,Electronics,2,67349.29,134698.58
T00180,2024-08-01,C021,Female,36,Jeans,Clothing,3,2351.57,7054.71
T00098,2024-08-03,C012,Female,29,T-Shirt,Clothing,1,885.04,885.04
T00278,2024-08-04,C036,Female,28,T-Shirt,Clothing,1,833.6,833.6
T00269,2024-08-06,C034,Male,40,Blender,Home & Kitchen,2,3011.88,6023.76
T00162,2024-08-09,C019,Female,60,Laptop,Electronics,1,62843.69,62843.69
T00251,2024-08-09,C031,Female,33,Smartphone,Electronics,2,31248.55,62497.1
T00173,2024-08-13,C021,Female,36,Rice Cooker,Home & Kitchen,1,3478.53,3478.53
T00287,2024-08-14,C038,Male,29,Laptop,Electronics,3,60291.32,180873.96
T00199,2024-08-16,C023,Female,40,Blender,Home & Kitchen,2,2980.65,5961.3
T00267,2024-08-17,C034,Male,40,Smartphone,Electronics,3,28197.25,84591.75
T00116,2024-08-18,C013,Female,59,Headphones,Electronics,3,2585.62,7756.86
T00379,2024-08-22,C059,Male,28,Rice Cooker,Home & Kitchen,2,3773.18,7546.36
T00107,2024-08-22,C013,Female,59,Laptop,Electronics,2,60286.3,120572.6
T00130,2024-08-28,C015,Male,50,Jacket,Clothing,1,4131.4,4131.4
T00304,2024-08-30,C042,Male,59,Desk Lamp,Furniture,1,1735.75,1735.75
T00209,2024-09-01,C024,Female,49,Office Chair,Furniture,2,6562.63,13125.26
T00050,2024-09-04,C006,Male,38,Jacket,Clothing,2,4704.3,9408.6
T00196,2024-09-07,C023,Female,40,Blender,Home & Kitchen,3,3071.9,9215.7
T00234,2024-09-08,C027,Male,29,Laptop,Electronics,1,69715.94,69715.94
T00371,2024-09-08,C055,Male,57,Desk Lamp,Furniture,3,1689.23,5067.69
T00025,2024-09-08,C004,Male,38,Blender,Home & Kitchen,2,2892.02,5784.04
T00262,2024-09-10,C033,Male,44,Rice Cooker,Home & Kitchen,2,3546.86,7093.72
T00069,2024-09-10,C009,Female,56,Desk Lamp,Furniture,1,1728.34,1728.34
T00106,2024-09-11,C013,Female,59,Jeans,Clothing,2,2299.31,4598.62
T00402,2024-09-11,C073,Female,20,Laptop,Electronics,1,67345.44,67345.44
T00369,2024-09-11,C055,Male,57,Desk Lamp,Furniture,3,1855.27,5565.81
T00215,2024-09-12,C025,Male,65,Laptop,Electronics,2,58729.69,117459.38
T00395,2024-09-12,C069,Female,37,Jeans,Clothing,2,2178.46,4356.92
T00122,2024-09-15,C014,Female,48,Desk Lamp,Furniture,2,1878.39,3756.78
T00019,2024-09-15,C003,Female,45,Laptop,Electronics,2,64624.25,129248.5
T00266,2024-09-17,C033,Male,44,Office Chair,Furniture,2,7255.61,14511.22
T00168,2024-09-18,C020,Female,37,Headphones,Electronics,2,2570.44,5140.88
T00342,2024-09-18,C049,Male,58,Office Chair,Furniture,1,6534.78,6534.78
T00236,2024-09-19,C028,Male,25,Blender,Home & Kitchen,2,2991.07,5982.14
T00149,2024-09-20,C017,Male,25,Headphones,Electronics,3,2309.61,6928.83
T00315,2024-09-21,C044,Male,37,Jeans,Clothing,2,2270.38,4540.76
T00414,2024-09-21,C078,Male,21,Jeans,Clothing,1,2283.66,2283.66
T00152,2024-09-23,C018,Male,47,Smartphone,Electronics,2,30529.84,61059.68
T00085,2024-09-23,C011,Female,62,Laptop,Electronics,2,60770.34,121540.68
T00223,2024-09-24,C025,Male,65,Smartphone,Electronics,1,31751.85,31751.85
T00134,2024-09-24,C016,Female,18,Jeans,Clothing,1,2332.65,2332.65
T00401,2024-09-25,C073,Female,20,Jeans,Clothing,1,2234.75,2234.75
T00056,2024-09-29,C007,Female,35,T-Shirt,Clothing,3,970.5,2911.5
T00084,2024-09-29,C011,Female,62,Smartphone,Electronics,2,27692.94,55385.88
T00030,2024-09-30,C004,Male,38,Smartphone,Electronics,2,30781.7,61563.4
T00112,2024-10-03,C013,Female,59,Jeans,Clothing,2,2209.96,4419.92
T00144,2024-10-04,C017,Male,25,Smartphone,Electronics,2,29751.36,59502.72
T00361,2024-10-05,C053,Male,21,Laptop,Electronics,1,69200.66,69200.66
T00409,2024-10-06,C076,Female,21,T-Shirt,Clothing,2,828.2,1656.4
T00105,2024-10-06,C012,Female,29,Smartphone,Electronics,2,31168.79,62337.58
T00037,2024-10-06,C005,Male,22,Rice Cooker,Home & Kitchen,2,3452.47,6904.94
T00175,2024-10-08,C021,Female,36,Laptop,Electronics,2,62296.77,124593.54
T00074,2024-10-08,C010,Male,25,Blender,Home & Kitchen,3,2781.73,8345.19
T00400,2024-10-12,C072,Male,55,Jacket,Clothing,2,4652.05,9304.1
T00083,2024-10-14,C010,Male,25,Smartphone,Electronics,3,27863.23,83589.69
T00390,2024-10-17,C067,Female,26,Jeans,Clothing,1,2407.19,2407.19
T00340,2024-10-18,C049,Male,58,Rice Cooker,Home & Kitchen,2,3330.47,6660.94
T00245,2024-10-19,C030,Female,50,Blender,Home & Kitchen,1,2999.08,2999.08
T00216,2024-10-19,C025,Male,65,T-Shirt,Clothing,3,871.79,2615.37
T00036,2024-10-20,C005,Male,22,Jeans,Clothing,2,2356.91,4713.82
T00240,2024-10-21,C029,Female,41,Smartphone,Electronics,2,27829.23,55658.46
T00324,2024-10-23,C046,Male,25,Smartphone,Electronics,2,27550.34,55100.68
T00283,2024-10-26,C037,Male,63,Laptop,Electronics,1,70971.32,70971.32
T00349,2024-10-31,C050,Male,24,Rice Cooker,Home & Kitchen,3,3228.29,9684.87
T00006,2024-11-02,C001,Male,55,Laptop,Electronics,3,66711.64,200134.92
T00284,2024-11-03,C037,Male,63,Rice Cooker,Home & Kitchen,2,3227.48,6454.96
T00176,2024-11-05,C021,Female,36,T-Shirt,Clothing,3,898.79,2696.37
T00204,2024-11-06,C024,Female,49,Laptop,Electronics,3,65190.18,195570.54
T00101,2024-11-07,C012,Female,29,Desk Lamp,Furniture,2,1949.89,3899.78
T00090,2024-11-07,C011,Female,62,Jeans,Clothing,3,2001.67,6005.01
T00300,2024-11-09,C041,Male,42,Jacket,Clothing,1,4441.11,4441.11
T00016,2024-11-09,C002,Female,37,Laptop,Electronics,2,61098.81,122197.62
T00244,2024-11-11,C030,Female,50,Office Chair,Furniture,1,7166.77,7166.77
T00178,2024-11-11,C021,Female,36,Jacket,Clothing,2,4653.18,9306.36
T00314,2024-11-13,C044,Male,37,Desk Lamp,Furniture,1,1734.9,1734.9
T00034,2024-11-21,C004,Male,38,T-Shirt,Clothing,2,859.0,1718.0
T00205,2024-11-22,C024,Female,49,Laptop,Electronics,2,63717.62,127435.24
T00231,2024-11-25,C027,Male,29,Laptop,Electronics,3,63498.56,190495.68
T00270,2024-11-26,C035,Female,36,Blender,Home & Kitchen,2,2958.46,5916.92
T00353,2024-11-26,C051,Female,57,Blender,Home & Kitchen,1,2698.26,2698.26
T00141,2024-11-26,C017,Male,25,Desk Lamp,Furniture,2,1639.62,3279.24
T00080,2024-11-28,C010,Male,25,Smartphone,Electronics,2,28419.97,56839.94
T00163,2024-12-02,C019,Female,60,Smartphone,Electronics,2,31456.16,62912.32
T00306,2024-12-03,C042,Male,59,Smartphone,Electronics,2,32931.62,65863.24
T00237,2024-12-04,C028,Male,25,T-Shirt,Clothing,1,853.65,853.65
T00219,2024-12-04,C025,Male,65,Smartphone,Electronics,2,32454.39,64908.78
T00320,2024-12-05,C045,Female,34,T-Shirt,Clothing,1,875.94,875.94
T00076,2024-12-06,C010,Male,25,Blender,Home & Kitchen,3,2650.28,7950.84
T00301,2024-12-08,C041,Male,42,Smartphone,Electronics,1,32713.5,32713.5
T00364,2024-12-10,C053,Male,21,Laptop,Electronics,2,68091.37,136182.74
T00222,2024-12-12,C025,Male,65,Smartphone,Electronics,1,32245.89,32245.89
T00333,2024-12-13,C048,Female,39,Jeans,Clothing,1,2365.05,2365.05
T00049,2024-12-13,C006,Male,38,Laptop,Electronics,2,67239.12,134478.24
T00351,2024-12-18,C051,Female,57,Rice Cooker,Home & Kitchen,2,3844.43,7688.86
T00164,2024-12-20,C019,Female,60,Laptop,Electronics,2,69635.12,139270.24
T00059,2024-12-21,C007,Female,35,Jacket,Clothing,2,4135.02,8270.04
T00186,2024-12-21,C022,Male,33,Laptop,Electronics,1,70556.99,70556.99
T00054,2024-12-22,C007,Female,35,Smartphone,Electronics,2,28535.79,57071.58
T00088,2024-12-22,C011,Female,62,Office Chair,Furniture,3,6360.87,19082.61
T00064,2024-12-23,C008,Male,63,T-Shirt,Clothing,3,835.9,2507.7
T00094,2024-12-24,C012,Female,29,Blender,Home & Kitchen,3,2879.79,8639.37
T00096,2024-12-25,C012,Female,29,Office Chair,Furniture,2,6947.92,13895.84
T00220,2024-12-26,C025,Male,65,Jeans,Clothing,3,2239.93,6719.79
T00041,2024-12-29,C005,Male,22,Laptop,Electronics,1,60717.71,60717.71
T00027,2024-12-31,C004,Male,38,Laptop,Electronics,1,67890.67,67890.67
T00077,2024-12-31,C010,Male,25,Jeans,Clothing,2,2361.81,4723.62
T00276,2024-12-31,C036,Female,28,Jeans,Clothing,2,2244.78,4489.56
T00169,2024-12-31,C020,Female,37,Smartphone,Electronics,1,30150.53,30150.53
T00297,2025-01-01,C040,Female,29,T-Shirt,Clothing,3,905.55,2716.65
T00277,2025-01-02,C036,Female,28,Jeans,Clothing,3,2066.57,6199.71
T00032,2025-01-03,C004,Male,38,Office Chair,Furniture,3,7279.59,21838.77
T00256,2025-01-04,C032,Male,44,Smartphone,Electronics,2,32383.81,64767.62
T00157,2025-01-05,C018,Male,47,T-Shirt,Clothing,2,922.68,1845.36
T00155,2025-01-09,C018,Male,47,Rice Cooker,Home & Kitchen,2,3603.56,7207.12
T00008,2025-01-11,C001,Male,55,Office Chair,Furniture,2,6572.49,13144.98
T00322,2025-01-11,C046,Male,25,Desk Lamp,Furniture,2,1770.95,3541.9
T00225,2025-01-11,C026,Female,46,Office Chair,Furniture,2,7563.58,15127.16
T00048,2025-01-16,C006,Male,38,Office Chair,Furniture,3,6496.35,19489.05
T00201,2025-01-21,C023,Female,40,Laptop,Electronics,3,67772.36,203317.08
T00060,2025-01-22,C007,Female,35,Rice Cooker,Home & Kitchen,2,3805.77,7611.54
T00203,2025-01-26,C024,Female,49,Smartphone,Electronics,1,30731.39,30731.39
T00183,2025-01-27,C022,Male,33,T-Shirt,Clothing,2,905.65,1811.3
T00289,2025-01-29,C039,Female,58,Jacket,Clothing,2,4277.93,8555.86
T00295,2025-01-29,C040,Female,29,Jeans,Clothing,1,2177.94,2177.94
T00310,2025-02-01,C043,Male,57,Blender,Home & Kitchen,3,3037.32,9111.96
T00214,2025-02-01,C025,Male,65,T-Shirt,Clothing,2,875.77,1751.54
T00367,2025-02-03,C054,Male,46,Blender,Home & Kitchen,1,2586.59,2586.59
T00070,2025-02-04,C009,Female,56,T-Shirt,Clothing,2,982.01,1964.02
T00275,2025-02-05,C036,Female,28,T-Shirt,Clothing,1,919.57,919.57
T00224,2025-02-09,C026,Female,46,Jeans,Clothing,2,2417.67,4835.34
T00026,2025-02-10,C004,Male,38,Blender,Home & Kitchen,2,2613.5,5227.0
T00312,2025-02-12,C043,Male,57,Desk Lamp,Furniture,1,1642.34,1642.34
T00207,2025-02-13,C024,Female,49,Headphones,Electronics,3,2676.67,8030.01
T00040,2025-02-14,C005,Male,22,T-Shirt,Clothing,1,836.01,836.01
T00091,2025-02-14,C011,Female,62,Headphones,Electronics,3,2300.84,6902.52
T00211,2025-02-19,C024,Female,49,Desk Lamp,Furniture,3,1726.69,5180.07
T00362,2025-02-20,C053,Male,21,Smartphone,Electronics,1,32164.81,32164.81
T00352,2025-02-21,C051,Female,57,Desk Lamp,Furniture,1,1654.27,1654.27
T00182,2025-02-22,C022,Male,33,Jeans,Clothing,3,2354.12,7062.36
T00174,2025-02-24,C021,Female,36,Laptop,Electronics,2,70292.35,140584.7
T00015,2025-02-24,C002,Female,37,Headphones,Electronics,3,2394.16,7182.48
T00316,2025-02-24,C044,Male,37,Jeans,Clothing,2,2398.03,4796.06
T00023,2025-02-25,C003,Female,45,Headphones,Electronics,3,2366.97,7100.91
T00001,2025-02-26,C001,Male,55,Office Chair,Furniture,1,6431.85,6431.85
T00193,2025-02-27,C023,Female,40,Jacket,Clothing,2,4936.12,9872.24
T00127,2025-02-28,C015,Male,50,Office Chair,Furniture,2,6454.82,12909.64
T00328,2025-03-02,C047,Male,55,Headphones,Electronics,2,2391.76,4783.52
T00167,2025-03-04,C020,Female,37,Smartphone,Electronics,3,31125.99,93377.97
T00004,2025-03-05,C001,Male,55,Desk Lamp,Furniture,3,1916.19,5748.57
T00138,2025-03-08,C016,Female,18,Laptop,Electronics,1,65058.9,65058.9
T00033,2025-03-09,C004,Male,38,Desk Lamp,Furniture,2,1900.35,3800.7
T00012,2025-03-12,C002,Female,37,T-Shirt,Clothing,1,850.84,850.84
T00238,2025-03-12,C029,Female,41,Headphones,Electronics,2,2715.19,5430.38
T00113,2025-03-13,C013,Female,59,Rice Cooker,Home & Kitchen,3,3494.51,10483.53
T00170,2025-03-14,C020,Female,37,Smartphone,Electronics,1,32017.83,32017.83
T00044,2025-03-14,C006,Male,38,Laptop,Electronics,3,64826.56,194479.68
T00018,2025-03-16,C002,Female,37,Blender,Home & Kitchen,2,2776.99,5553.98
T00150,2025-03-18,C017,Male,25,Laptop,Electronics,3,62461.16,187383.48
T00154,2025-03-20,C018,Male,47,Smartphone,Electronics,2,30434.75,60869.5
T00233,2025-03-22,C027,Male,29,T-Shirt,Clothing,2,884.99,1769.98
T00331,2025-03-24,C047,Male,55,Rice Cooker,Home & Kitchen,2,3587.83,7175.66
T00197,2025-03-26,C023,Female,40,T-Shirt,Clothing,2,884.08,1768.16
T00336,2025-03-26,C048,Female,39,Rice Cooker,Home & Kitchen,2,3383.88,6767.76
T00366,2025-04-01,C054,Male,46,T-Shirt,Clothing,2,849.45,1698.9
T00298,2025-04-05,C040,Female,29,Headphones,Electronics,1,2330.63,2330.63
T00166,2025-04-06,C020,Female,37,Desk Lamp,Furniture,2,1978.37,3956.74
T00263,2025-04-08,C033,Male,44,Blender,Home & Kitchen,2,2754.79,5509.58
T00252,2025-04-08,C031,Female,33,Blender,Home & Kitchen,3,3018.41,9055.23
T00294,2025-04-09,C040,Female,29,Headphones,Electronics,1,2673.24,2673.24
T00055,2025-04-09,C007,Female,35,Desk Lamp,Furniture,1,1636.17,1636.17
T00184,2025-04-10,C022,Male,33,Headphones,Electronics,1,2708.67,2708.67
T00271,2025-04-12,C035,Female,36,Jacket,Clothing,2,4863.58,9727.16
T00160,2025-04-12,C019,Female,60,Smartphone,Electronics,2,29964.85,59929.7
T00092,2025-04-14,C011,Female,62,Blender,Home & Kitchen,1,3037.91,3037.91
T00248,2025-04-14,C030,Female,50,T-Shirt,Clothing,3,953.86,2861.58
T00158,2025-04-15,C018,Male,47,T-Shirt,Clothing,2,942.61,1885.22
T00189,2025-04-15,C022,Male,33,Desk Lamp,Furniture,2,1843.33,3686.66
T00181,2025-04-18,C022,Male,33,Office Chair,Furniture,3,7006.71,21020.13
T00307,2025-04-18,C043,Male,57,Jeans,Clothing,3,2385.09,7155.27
T00139,2025-04-23,C016,Female,18,Jacket,Clothing,2,4816.02,9632.04
T00046,2025-04-24,C006,Male,38,Smartphone,Electronics,2,28989.41,57978.82
T00047,2025-04-26,C006,Male,38,T-Shirt,Clothing,2,813.89,1627.78
T00281,2025-04-26,C037,Male,63,Headphones,Electronics,2,2342.88,4685.76
T00293,2025-04-30,C039,Female,58,Headphones,Electronics,2,2310.33,4620.66
T00104,2025-04-30,C012,Female,29,Jacket,Clothing,2,4309.34,8618.68
T00368,2025-04-30,C054,Male,46,Smartphone,Electronics,1,28052.08,28052.08
T00355,2025-05-02,C052,Male,35,Blender,Home & Kitchen,1,2985.99,2985.99
T00339,2025-05-03,C049,Male,58,Jeans,Clothing,2,2085.7,4171.4
T00022,2025-05-04,C003,Female,45,Laptop,Electronics,2,61289.6,122579.2
T00013,2025-05-06,C002,Female,37,T-Shirt,Clothing,2,959.88,1919.76
T00188,2025-05-08,C022,Male,33,Smartphone,Electronics,1,31218.2,31218.2
T00286,2025-05-08,C038,Male,29,Desk Lamp,Furniture,3,1973.65,5920.95
T00228,2025-05-13,C026,Female,46,Jeans,Clothing,2,1995.77,3991.54
T00043,2025-05-16,C005,Male,22,Jeans,Clothing,2,2401.77,4803.54
T00039,2025-05-17,C005,Male,22,Laptop,Electronics,3,59040.98,177122.94
T00177,2025-05-18,C021,Female,36,Laptop,Electronics,2,69466.65,138933.3
T00156,2025-05-19,C018,Male,47,Smartphone,Electronics,2,31724.59,63449.18
T00042,2025-05-19,C005,Male,22,Desk Lamp,Furniture,3,1744.87,5234.61
T00111,2025-05-20,C013,Female,59,Jeans,Clothing,1,2228.58,2228.58
T00087,2025-05-21,C011,Female,62,Headphones,Electronics,3,2502.26,7506.78
T00313,2025-05-24,C044,Male,37,Smartphone,Electronics,1,30793.7,30793.7
T00273,2025-05-24,C035,Female,36,Headphones,Electronics,2,2261.57,4523.14
T00153,2025-05-27,C018,Male,47,Laptop,Electronics,2,63939.2,127878.4
T00099,2025-05-28,C012,Female,29,Headphones,Electronics,1,2433.2,2433.2
T00031,2025-05-30,C004,Male,38,Laptop,Electronics,2,60034.08,120068.16
T00337,2025-06-01,C048,Female,39,Desk Lamp,Furniture,1,1952.59,1952.59
T00142,2025-06-01,C017,Male,25,Jeans,Clothing,1,2369.02,2369.02
T00095,2025-06-04,C012,Female,29,Laptop,Electronics,3,65468.88,196406.64
T00185,2025-06-11,C022,Male,33,Smartphone,Electronics,2,29033.13,58066.26
T00014,2025-06-11,C002,Female,37,Smartphone,Electronics,2,31993.56,63987.12
T00075,2025-06-14,C010,Male,25,Laptop,Electronics,3,59918.87,179756.61
T00073,2025-06-14,C009,Female,56,Laptop,Electronics,2,71061.01,142122.02
T00217,2025-06-14,C025,Male,65,T-Shirt,Clothing,3,945.35,2836.05
T00146,2025-06-15,C017,Male,25,Laptop,Electronics,1,62417.45,62417.45
T00005,2025-06-19,C001,Male,55,T-Shirt,Clothing,2,909.83,1819.66
T00179,2025-06-22,C021,Female,36,Rice Cooker,Home & Kitchen,2,3406.63,6813.26
T00131,2025-06-22,C015,Male,50,Office Chair,Furniture,3,6637.16,19911.48
T00318,2025-06-24,C045,Female,34,Jeans,Clothing,1,2309.83,2309.83
T00261,2025-06-25,C032,Male,44,Headphones,Electronics,3,2555.39,7666.17
T00335,2025-06-25,C048,Female,39,T-Shirt,Clothing,3,908.02,2724.06
T00291,2025-06-28,C039,Female,58,Blender,Home & Kitchen,2,2727.9,5455.8
T00071,2025-06-29,C009,Female,56,Smartphone,Electronics,3,27149.16,81447.48
T00020,2025-07-02,C003,Female,45,Jeans,Clothing,1,2259.28,2259.28
T00343,2025-07-03,C049,Male,58,Laptop,Electronics,1,68867.64,68867.64
T00136,2025-07-03,C016,Female,18,Desk Lamp,Furniture,3,1897.96,5693.88
T00327,2025-07-03,C047,Male,55,Headphones,Electronics,3,2314.68,6944.04
T00045,2025-07-04,C006,Male,38,Desk Lamp,Furniture,2,1825.82,3651.64
T00210,2025-07-08,C024,Female,49,Headphones,Electronics,1,2608.82,2608.82
T00347,2025-07-14,C050,Male,24,Desk Lamp,Furniture,3,1645.07,4935.21
T00187,2025-07-15,C022,Male,33,Smartphone,Electronics,2,30590.86,61181.72
T00028,2025-07-18,C004,Male,38,Smartphone,Electronics,2,30006.27,60012.54
